Season,Temperature (°C),Humidity (%),CO (ppm),NH3 (ppm),C4H10 (ppm),CH4 (ppm),Air Pressure (hPa),Light Intensity (lux),Fungus Present
Winter,5.704846409997327,26.803732995487692,60.376568531444775,6.0843672765552235,15.88170381467119,30.067430552639692,1027.659775221015,482.3713759386342,0.0
Rainy,30.130595770751004,95.48459286192671,113.25693386391507,7.202852056804522,16.02993618552652,41.06344803089014,1014.7922905512165,277.70234371970724,1.0
Rainy,14.668732161145943,74.9231194401968,33.126093512197926,5.464933998496812,14.572578461949298,29.23572174114811,1013.6138875142705,467.50295276853615,0.0
Winter,12.48220937293647,49.40325175116441,86.1486721038583,12.978681293806366,22.10794850067823,46.82359535153573,1019.9719603220257,231.3761282680565,1.0
Summer,30.575986429865495,99.46872500802698,71.09589471175549,-1.507358588349934,23.926728015051417,35.10715735559782,1018.2457386053521,885.4827903746946,1.0
Summer,27.801404468394768,65.41550618745192,54.387262819134435,5.835362810034495,10.13721738700799,27.682835430096016,1013.0433479738557,1241.4892087925875,0.0
Winter,11.402931252494056,49.31896375422867,93.85135309101366,11.160610244042104,18.12177689469346,32.86044562904507,1016.6471135242981,214.84729535742392,1.0
Rainy,23.891406143801277,92.87736248141996,80.99510586491223,11.234788982804567,23.368974072813014,58.06994188917045,1013.0122673536115,462.9342564030403,1.0
Summer,32.7690828339261,113.0930634973311,87.39950040932212,13.429289093042094,27.177854965818117,59.95167665158606,1016.8877736641896,1207.183241886407,1.0
Summer,33.99869145863549,67.30854720193382,42.434521994290904,3.4330237433082518,11.940611394690334,21.96939559565938,1013.284620346293,983.5499826693352,0.0
Summer,22.793112483526855,54.907846559744385,55.190516163662025,6.6879785042383935,10.265510421453646,27.469012616786912,1018.1097612123947,797.9548141895734,0.0
Winter,13.53196420501187,57.25096855115342,107.10097213192313,12.020038933758126,22.790323842842508,48.36169169660808,1021.3629164881673,225.31770105952728,1.0
Winter,15.662975569809728,21.797301455796088,48.89098224796907,7.623869698727514,8.068764149693996,35.77478531670286,1024.8403655693635,305.25160203495903,0.0
Summer,45.2874773485585,106.72756845267445,97.13482169271614,16.64083026978666,28.59181997881938,47.65420970380812,1021.4796393078688,1107.9309548690142,1.0
